,Instance,Number of Extracted States,LastTokenQuery,EquivalenceQuery,NumberOfStatesExceeded,QueryLengthExceeded,TimeExceeded,Tree Depth,Inner Nodes,TimeBound,Accuracy,Unknown Results Percentage,Taysir MSE
0,1,1,1932,1,False,False,True,1,1,30,0.0,0.0,0.02011652930322321
0,2,36,2360,3,False,False,True,2,2,30,0.0,0.0,0.04722417385459346
0,3,1,656,1,False,False,True,1,1,30,0.0,0.0,0.40646662815627244
0,5,1,34,1,False,False,True,0,0,30,1.0,0.0,0.029689594463038375
0,6,2,3423,2,False,False,True,2,2,30,0.0,0.0,0.0001355963147080837
0,10,1,5644,1,False,False,True,1,1,30,0.06,0.0,3.446899008699114e-12
