,Instance,Number of Extracted States,LastTokenQuery,EquivalenceQuery,NumberOfStatesExceeded,QueryLengthExceeded,TimeExceeded,Tree Depth,Inner Nodes,TimeBound,Accuracy,Unknown Results Percentage,Taysir MSE
0,5,2827,3392758,27,False,False,False,4,23,,0.06,0.0,0.31508628381351705
0,6,230,140595,14,False,False,False,7,12,,0.71,0.0,2.1669453856887815
0,7,339,392532,11,False,False,False,6,9,,0.93,0.0,3.4905572423967435
0,8,1498,902525,27,False,False,False,3,19,,0.0,0.0,2.868008265456453
0,9,108,110124,7,False,False,False,6,6,,0.98,0.0,3.674870347202332
